Line,Station1,Station2,time
District,Gunnersbury,Kew Gardens,2
Distric,Richmond,Kew Gardens,4
District,Turnham Green,Chiswick Park,1
District,Chiswick Park,Acton Town,2
District/Picadilly,Acton Town,Ealing Common,2
District,Ealing Common,Ealing Broadway,3
Jubilee,Stanmore,Canons Park,2
Jubilee,Canons Park,Queensbury,2
Jubilee,Queensbury,Kingsbury,1
Jubilee,Kingsbury,Wembley Park,3
Jubilee,Wembley Park,Neasden,3
Jubilee,Neasden,Dollis Hill,1
Jubilee,Dollis Hill,Willesden Green,2
Jubilee,Willesden Green,Kilburn,2
Jubilee,Kilburn,West Hampstead,1
Jubilee,West Hampstead,Finchley Road,2
Jubilee,Finchley Road,Swiss Cottage,2
Jubilee,Swiss Cottage,St. John's Wood,2
Jubilee,St. John's Wood,Baker Street,2
Jubilee,Baker Street,Bond Street,2
Jubilee,Bond Street,Green Park,2
Jubilee,Green Park,Westminster,2
Jubilee,Westminster,Waterloo,2
Jubilee,Waterloo,Southwark,2
Jubilee,Southwark,London Bridge,2
Jubilee,London Bridge,Bermondsey,2
Jubilee,Bermondsey,Canada Water,1
Jubilee,Canada Water,Canary Wharf,2
Jubilee,Canary Wharf,North Greenwich,2
Jubilee,North Greenwich,Canning Town,2
Jubilee,Canning Town,West Ham,2
Jubilee,West Ham,Stratford,4
Metropolitan,Amersham,Chalfont & Latimer,4
Metropolitan,Chesham,Chalfont & Latimer,9
Metropolitan,Chalfont & Latimer,Chorleywood,5
Metropolitan,Chorleywood,Rickmansworth,6
Metropolitan,Rickmansworth,Moor Park,4
Metropolitan,Watford,Croxley,4
Metropolitan,Croxley,Moor Park,4
Metropolitan/Picadilly,Uxbridge,Hillingdon,4
Metropolitan/Picadilly,Hillingdon,Ickenham,2
Metropolitan/Picadilly,Ickenham,Ruislip,2
Metropolitan/Picadilly,Ruislip,Ruislip Manor,1
Metropolitan/Picadilly,Ruislip Manor,Eastcote,2
Metropolitan/Picadilly,Eastcote,Rayners Lane,2
Metropolitan,Rayners Lane,West Harrow,2
Metropolitan,West Harrow,Harrow-on-the-Hill,2
Metropolitan,Harrow-on-the-Hill,North Harrow,2
Metropolitan,North Harrow,Pinner,2
